stockid,stockname,teamid
SH600884,杉杉股份,CA00001
SH603799,华友钴业,CA00002
SZ300618,寒锐钴业,CA00003
SZ300014,亿纬锂能,CA00004
SZ300750,宁德时代,CA00005
SH600733,北汽蓝谷,CA00006
SZ002460,赣锋锂业,CA00007
SZ002454,松芝股份,CA00008
SZ002709,天赐材料,CA00067
SZ002812,恩捷股份,CA00009
SZ000625,长安汽车,CA00010
SH603982,泉峰汽车,CA00011
SZ000572,海马汽车,CA00012
SH600418,江淮汽车,CA00013
SH600006,东风汽车,CA00014
SZ002466,天齐锂业,CA00015
SZ000957,中通客车,CA00016
SH601633,长城汽车,CA00017
SH601127,小康股份,CA00100
SZ002594,比亚迪,CA00018
SH603588,高能环境,CA00019
SZ002240,盛新锂能,CA00102
SZ002738,中矿资源,CA00021
SH603979,金诚信,CA00022
SH601618,中国中冶,CA00023
SZ000792,盐湖股份,CA00025
SH600522,中天科技,CA00026
SZ301162,国能日新,CA00027
SH600141,兴发集团,CA00028
SH601899,紫金矿业,CA00029
SZ002645,华宏科技,CA00030
SH601390,中国中铁,CA00031
SZ002266,浙富控股,CA00032
SH603993,洛阳钼业,CA00109
SH688156,路德环境,CA00034
SH601088,中国神华,CA00035
SH600188,兖矿能源,CA00036
SH601225,陕西煤业,CA00037
SH601898,中煤能源,CA00038
SH600519,贵州茅台,CA00039
SZ000858,五粮液,CA00040
SZ000568,泸州老窖,CA00041
SZ002304,洋河股份,CA00042
SH600809,山西汾酒,CA00043
SH600779,水井坊,CA00044
SZ000596,古进贡酒,CA00099
SZ000799,酒鬼酒,CA00045
SH600702,舍得酒业,CA00046
SH600132,重庆啤酒,CA00047
SH600600,青岛啤酒,CA00048
SZ000729,燕京啤酒,CA00049
SH603288,海天味业,CA00050
SH600872,中炬高新,CA00051
SH600305,恒顺醋业,CA00052
SH600887,伊利股份,CA00053
SH600597,光明乳业,CA00054
SZ001318,阳光乳业,CA00055
SH603517,绝味食品,CA00056
SZ002557,洽洽食品,CA00057
SZ002601,龙佰集团,CA00058
SZ002145,中核钛白,CA00059
SZ002407,多氟多,CA00060
SZ300343,联创股份,CA00061
SZ000525,红太阳,CA00062
SH600309,万华化学,CA00063
SZ002326,永太科技,CA00064
SZ300446,乐凯新材,CA00065
SH603077,和邦生物,CA00066
SZ002709,天赐材料,CA00067
SZ000683,远兴能源,CA00068
SH600078,ST澄星,CA00069
SH600096,云天化,CA00070
SH600596,新安股份,CA00071
SZ000422,湖北宜化,CA00072
SZ002493,荣盛石化,CA00073
SH600389,江山股份,CA00074
SH600470,六国化工,CA00075
SZ000545,金浦钛业,CA00076
SZ002455,百川股份,CA00077
SH688981,中芯国际,CA00078
SZ002371,北方华创,CA00079
SH603501,韦尔股份,CA00080
SZ002049,紫光国微,CA00081
SH603986,兆易创新,CA00082
SH688012,中微公司,CA00083
SH688396,华润微,CA00084
SH600460,士兰微,CA00085
SZ300782,卓胜微,CA00086
SH603290,斯达半导,CA00087
SZ300661,圣邦股份,CA00088
SH605358,立昂微,CA00089
SZ300223,北京君正,CA00090
SH600584,长电科技,CA00091
SZ300373,扬杰科技,CA00092
SH605111,新洁能,CA00093
SH600745,闻泰科技,CA00094
SZ300671,富满微,CA00095
SH688536,思瑞浦,CA00096
SZ300458,全志科技,CA00097
